City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
106,Williams Lake,CA,52.1415,-122.1445,54.97,37,75,5.75,broken clouds,2022-05-02 04:38:04
107,Indiana,US,40.0003,-86.2503,55.11,73,100,8.05,overcast clouds,2022-05-02 04:37:55
108,Ginda,IN,30.6945,78.4932,80.71,24,6,6.91,clear sky,2022-05-02 04:38:04
109,Pevek,RU,69.7008,170.3133,21.58,81,100,5.75,overcast clouds,2022-05-02 04:38:05
110,Tasiilaq,GL,65.6145,-37.6368,17.74,66,89,4.27,overcast clouds,2022-05-02 04:35:17
111,Shingu,JP,33.7333,135.9833,67.44,34,100,7.34,overcast clouds,2022-05-02 04:38:06
112,Nambucca Heads,AU,-30.65,153.0,73.4,57,43,8.08,scattered clouds,2022-05-02 04:38:06
113,Fraga,ES,41.5229,0.3489,58.03,74,65,4.76,broken clouds,2022-05-02 04:38:06
114,Saratovskaya,RU,44.7103,39.2244,48.02,96,100,12.62,overcast clouds,2022-05-02 04:38:07
115,Kavieng,PG,-2.5744,150.7967,84.06,74,49,7.54,light rain,2022-05-02 04:38:07
116,Pangody,RU,65.85,74.4859,26.56,87,100,5.64,overcast clouds,2022-05-02 04:38:08
117,Centralia,US,46.7162,-122.9543,55.45,80,20,0.0,few clouds,2022-05-02 04:38:08
118,Xiangxiang,CN,27.7333,112.5333,71.2,48,100,5.44,overcast clouds,2022-05-02 04:38:09
119,Atar,MR,20.5169,-13.0499,78.58,16,1,10.25,clear sky,2022-05-02 04:38:09
120,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.97,82,2,8.7,clear sky,2022-05-02 04:33:39
121,Ancud,CL,-41.8697,-73.8203,47.66,93,4,4.76,clear sky,2022-05-02 04:38:09
122,Bethel,US,41.3712,-73.414,56.35,62,100,1.01,overcast clouds,2022-05-02 04:38:10
123,Fort Nelson,CA,58.8053,-122.7002,49.59,46,40,10.36,scattered clouds,2022-05-02 04:38:10
124,Fairbanks,US,64.8378,-147.7164,52.61,39,0,6.91,clear sky,2022-05-02 04:38:11
125,Kenai,US,60.5544,-151.2583,47.03,55,100,11.5,overcast clouds,2022-05-02 04:38:11
126,Korinos,GR,40.315,22.5853,59.38,98,100,5.21,overcast clouds,2022-05-02 04:38:12
127,Northam,GB,51.0333,-4.2167,49.6,96,100,2.04,overcast clouds,2022-05-02 04:38:12
128,Mount Gambier,AU,-37.8333,140.7667,66.11,72,100,14.97,overcast clouds,2022-05-02 04:38:12
129,Yellowknife,CA,62.456,-114.3525,39.72,56,0,9.22,clear sky,2022-05-02 04:38:13
130,Outjo,NA,-20.1167,16.15,60.91,52,28,7.78,scattered clouds,2022-05-02 04:38:13
131,Khipro,PK,25.8285,69.3772,99.3,15,21,27.56,few clouds,2022-05-02 04:38:14
132,Yumen,CN,40.2833,97.2,67.5,6,54,1.66,broken clouds,2022-05-02 04:38:14
133,Denia,ES,38.8408,0.1057,61.81,89,42,3.0,scattered clouds,2022-05-02 04:38:15
134,Tonantins,BR,-2.8731,-67.8022,73.04,98,89,2.06,overcast clouds,2022-05-02 04:38:15
135,Kaset Sombun,TH,16.2805,101.9542,79.61,56,97,8.63,overcast clouds,2022-05-02 04:38:16
136,Pointe Michel,DM,15.25,-61.3833,79.52,78,100,12.24,overcast clouds,2022-05-02 04:38:16
137,Saldanha,ZA,-33.0117,17.9442,51.85,53,81,5.55,broken clouds,2022-05-02 04:38:16
138,Souillac,MU,-20.5167,57.5167,75.58,88,20,2.3,few clouds,2022-05-02 04:38:17
139,Batagay-Alyta,RU,67.8006,130.4114,18.39,92,100,12.3,light snow,2022-05-02 04:38:17
140,Khatanga,RU,71.9667,102.5,24.75,82,98,15.14,overcast clouds,2022-05-02 04:38:18
141,Dali,CN,25.7,100.1833,48.69,86,100,5.01,overcast clouds,2022-05-02 04:36:54
142,Kruisfontein,ZA,-34.0033,24.7314,51.28,85,4,4.47,clear sky,2022-05-02 04:38:18
143,Carutapera,BR,-1.195,-46.02,75.15,94,100,3.6,overcast clouds,2022-05-02 04:38:19
144,Sarangani,PH,5.4033,125.4636,82.6,73,99,1.07,overcast clouds,2022-05-02 04:38:19
145,Qaanaaq,GL,77.484,-69.3632,5.13,62,47,8.08,scattered clouds,2022-05-02 04:38:20
146,San Patricio,US,28.017,-97.5169,79.9,87,93,14.54,overcast clouds,2022-05-02 04:38:20
147,Sola,VU,-13.8833,167.55,78.73,81,100,10.02,overcast clouds,2022-05-02 04:38:20
148,Verkhnevilyuysk,RU,63.4453,120.3167,31.37,51,100,14.12,overcast clouds,2022-05-02 04:38:21
149,Andenes,NO,69.3143,16.1194,33.78,93,75,0.0,broken clouds,2022-05-02 04:38:21
150,Mwaya,TZ,-9.55,33.95,72.46,83,98,5.19,light rain,2022-05-02 04:38:22
151,Oktyabrskiy,RU,54.4815,53.471,45.19,43,6,9.53,clear sky,2022-05-02 04:38:22
152,Mar Del Plata,AR,-38.0023,-57.5575,50.88,69,100,10.0,overcast clouds,2022-05-02 04:38:23
153,Handan,CN,36.6006,114.4678,84.36,14,8,3.4,clear sky,2022-05-02 04:38:23
154,Clyde River,CA,70.4692,-68.5914,8.83,85,100,13.8,light snow,2022-05-02 04:38:24
155,Guarapari,BR,-20.6667,-40.4975,75.88,79,0,10.02,clear sky,2022-05-02 04:38:24
156,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,87,0,6.91,clear sky,2022-05-02 04:38:24
157,Tupik,RU,54.4253,119.9327,39.02,93,95,8.59,light rain,2022-05-02 04:38:25
158,Hudson Bay,CA,52.85,-102.3842,33.42,88,100,5.99,overcast clouds,2022-05-02 04:38:25
159,New Norfolk,AU,-42.7826,147.0587,70.66,56,100,8.99,overcast clouds,2022-05-02 04:35:37
160,Labuhan,ID,-6.8844,112.2051,86.76,71,93,8.7,overcast clouds,2022-05-02 04:38:26
161,Bata,GQ,1.8639,9.7658,78.66,100,40,6.91,thunderstorm,2022-05-02 04:38:26
162,Lebu,CL,-37.6167,-73.65,50.49,93,3,12.91,clear sky,2022-05-02 04:38:27
163,Bundibugyo,UG,0.7414,30.0417,67.51,95,100,1.52,overcast clouds,2022-05-02 04:38:27
164,Mahebourg,MU,-20.4081,57.7,80.26,88,20,2.3,few clouds,2022-05-02 04:38:28
165,Chuy,UY,-33.6971,-53.4616,54.82,72,60,6.35,broken clouds,2022-05-02 04:38:28
166,Coquimbo,CL,-29.9533,-71.3436,53.33,100,20,3.44,few clouds,2022-05-02 04:37:54
167,Luderitz,NA,-26.6481,15.1594,72.43,28,0,12.71,clear sky,2022-05-02 04:38:28
168,Fortuna,US,40.5982,-124.1573,51.66,90,0,4.61,clear sky,2022-05-02 04:38:29
169,Grants,US,35.1473,-107.8514,61.03,11,0,9.22,clear sky,2022-05-02 04:38:29
170,Penzance,GB,50.1186,-5.5371,48.88,90,100,2.95,overcast clouds,2022-05-02 04:38:25
171,Maniitsoq,GL,65.4167,-52.9,24.73,82,95,3.8,overcast clouds,2022-05-02 04:38:30
172,Vanimo,PG,-2.6741,141.3028,79.88,85,100,1.9,overcast clouds,2022-05-02 04:38:13
173,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,88,75,2.37,broken clouds,2022-05-02 04:38:30
174,Verkh-Usugli,RU,52.7,115.1667,64.76,29,100,14.47,overcast clouds,2022-05-02 04:38:31
175,Pensilvania,US,40.2724,-76.9057,54.52,88,75,3.0,broken clouds,2022-05-02 04:38:31
176,Fallon,US,39.4735,-118.7774,51.67,37,0,3.44,clear sky,2022-05-02 04:36:11
177,Airai,TL,-8.9266,125.4092,76.91,43,85,5.55,overcast clouds,2022-05-02 04:38:32
178,Paracuru,BR,-3.41,-39.0306,76.1,89,97,9.15,overcast clouds,2022-05-02 04:38:32
179,Uglich,RU,57.5275,38.3317,42.17,65,25,4.9,scattered clouds,2022-05-02 04:38:33
180,Tabuk,PH,17.4189,121.4443,89.98,52,48,5.93,scattered clouds,2022-05-02 04:38:33
181,Cabo San Lucas,MX,22.8909,-109.9124,73.06,56,10,5.01,clear sky,2022-05-02 04:37:56
182,Westerly,US,41.3776,-71.8273,49.91,90,0,1.01,clear sky,2022-05-02 04:38:34
183,Nioro,GM,13.35,-15.75,75.92,38,31,4.61,scattered clouds,2022-05-02 04:38:34
184,Pangnirtung,CA,66.1451,-65.7125,24.33,96,100,4.23,light snow,2022-05-02 04:38:34
185,Salinas,US,36.6777,-121.6555,57.29,71,0,9.22,clear sky,2022-05-02 04:35:52
186,Te Anau,NZ,-45.4167,167.7167,56.14,71,36,4.81,scattered clouds,2022-05-02 04:38:35
187,Sao Filipe,CV,14.8961,-24.4956,72.12,76,1,8.5,clear sky,2022-05-02 04:38:35
188,Saint-Francois,FR,46.4154,3.9054,37.67,93,100,3.44,fog,2022-05-02 04:38:36
189,Steamboat Springs,US,40.485,-106.8317,45.99,68,0,11.5,clear sky,2022-05-02 04:38:36
190,Scarborough,GB,54.2797,-0.4044,51.66,89,100,3.04,overcast clouds,2022-05-02 04:34:55
191,Alofi,NU,-19.0595,-169.9187,82.29,83,100,8.05,overcast clouds,2022-05-02 04:38:37
192,Mwene-Ditu,CD,-7.0,23.45,64.4,96,73,3.6,broken clouds,2022-05-02 04:38:37
193,Ostrovnoy,RU,68.0531,39.5131,24.04,81,80,7.05,broken clouds,2022-05-02 04:38:38
194,Tiksi,RU,71.6872,128.8694,18.28,78,33,9.48,scattered clouds,2022-05-02 04:36:50
195,Bollnas,SE,61.3482,16.3946,44.62,56,100,11.01,overcast clouds,2022-05-02 04:38:38
196,Puerto Madryn,AR,-42.7692,-65.0385,52.27,68,100,13.6,overcast clouds,2022-05-02 04:35:36
197,Rio Gallegos,AR,-51.6226,-69.2181,35.65,93,0,8.05,clear sky,2022-05-02 04:38:39
198,Shimanovsk,RU,52.0,127.7,56.39,27,100,11.83,overcast clouds,2022-05-02 04:38:39
199,Moose Factory,CA,51.2585,-80.6094,40.98,70,100,10.36,overcast clouds,2022-05-02 04:38:40
200,Saintes,FR,45.6667,-0.75,49.75,70,100,5.37,overcast clouds,2022-05-02 04:38:40
201,Dedougou,BF,12.4667,-3.4667,88.12,40,79,5.55,broken clouds,2022-05-02 04:38:41
202,Haines Junction,CA,60.7522,-137.5108,44.55,57,99,8.05,overcast clouds,2022-05-02 04:38:41
203,Jibuti,DJ,11.5,42.5,80.08,57,44,9.6,scattered clouds,2022-05-02 04:38:41
204,Pacific Grove,US,36.6177,-121.9166,55.2,84,75,18.01,broken clouds,2022-05-02 04:38:13
205,Turkan,AZ,40.3639,50.215,59.18,77,20,24.16,few clouds,2022-05-02 04:38:42
206,Santa Marta,CO,11.2408,-74.199,83.89,76,75,13.8,broken clouds,2022-05-02 04:38:42
207,Espanola,US,35.9911,-106.0806,68.74,14,17,9.69,few clouds,2022-05-02 04:38:43
208,Narsaq,GL,60.9167,-46.05,41.22,75,100,3.09,overcast clouds,2022-05-02 04:38:43
209,Guadalupe Y Calvo,MX,26.1,-106.9667,44.08,29,4,4.27,clear sky,2022-05-02 04:38:43
210,Port Lincoln,AU,-34.7333,135.8667,67.3,58,1,9.69,clear sky,2022-05-02 04:38:44
211,Nishihara,JP,26.1842,127.7558,67.28,83,100,10.36,light intensity drizzle,2022-05-02 04:38:44
212,Ngunguru,NZ,-35.6167,174.5,64.56,72,99,7.9,overcast clouds,2022-05-02 04:38:45
