City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
593,Matara,LK,86.68,overcast clouds,5.9485,80.5353,Matara
601,Ternate,ID,84.99,clear sky,0.8,127.4,Ternate
608,Mackay,AU,81.68,overcast clouds,-21.15,149.2,Mackay
609,Panacan,PH,85.48,scattered clouds,9.2463,118.4082,Narra
611,Zaysan,KZ,76.86,overcast clouds,47.4667,84.8667,Zaysan
612,Henderson,US,75.22,clear sky,36.0397,-114.9819,Las Vegas
613,Puerto El Triunfo,SV,85.12,overcast clouds,13.2833,-88.55,Jiquilisco
615,Yaring,TH,88.18,overcast clouds,6.8662,101.3689,Yamu
617,Kidal,ML,75.54,clear sky,18.4411,1.4078,Kidal
632,Morant Bay,JM,78.42,light rain,17.8815,-76.4093,Morant Bay
637,Mae Sai,TH,87.78,overcast clouds,20.4335,99.8762,Tachileik
641,Porto Novo,BJ,79.02,broken clouds,6.4965,2.6036,Porto-Novo
647,Kirakira,SB,82.44,overcast clouds,-10.4544,161.9205,Arohane
651,Loiza,PR,79.45,few clouds,18.4313,-65.8802,Canóvanas
654,Iranshahr,IR,80.94,clear sky,27.2025,60.6848,Iranshahr
655,Meulaboh,ID,84.65,overcast clouds,4.1363,96.1285,Meulaboh
656,Suozhen,CN,78.01,few clouds,36.9539,118.1047,Zibo
660,Zaoyang,CN,78.08,clear sky,32.1272,112.7542,Xiangyang
661,Camocim,BR,75.63,overcast clouds,-2.9022,-40.8411,Camocim
663,Moree,AU,80.62,broken clouds,-29.4667,149.85,Moree
664,Sabang,ID,83.73,overcast clouds,5.8933,95.3214,Sabang
667,Galle,LK,84.36,overcast clouds,6.0367,80.217,Galle
671,Basco,PH,78.75,overcast clouds,20.4487,121.9702,Basco
679,Sibu,MY,86.31,scattered clouds,2.3,111.8167,Sibu
680,Hewitt,US,77.09,clear sky,31.4624,-97.1958,Waco
681,Yelandur,IN,81.75,overcast clouds,12.0667,77.0333,Yelandur
