City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Andenes,NO,2022-05-02 03:46:21,69.3143,16.1194,33.78,93,75,6.91
229,Sorland,NO,2022-05-02 03:46:21,67.667,12.6934,35.67,73,100,10.67
230,Nabire,ID,2022-05-02 03:46:21,-3.3667,135.4833,86.14,66,47,4.9
231,Yatou,CN,2022-05-02 03:46:22,37.15,122.3833,60.17,28,0,11.88
232,Hit,IQ,2022-05-02 03:46:22,33.6416,42.8251,71.83,55,0,18.03
233,Rawlins,US,2022-05-02 03:46:23,41.7911,-107.2387,46.35,53,100,9.22
234,Haines Junction,CA,2022-05-02 03:46:23,60.7522,-137.5108,46.35,53,98,4.61
235,Susanville,US,2022-05-02 03:46:24,40.4163,-120.653,49.91,45,0,3.0
236,Craigieburn,AU,2022-05-02 03:46:24,-37.6,144.95,70.74,56,40,11.5
237,East London,ZA,2022-05-02 03:46:25,-33.0153,27.9116,56.34,82,20,8.05
238,Dabhol,IN,2022-05-02 03:46:25,17.6,73.1667,86.47,60,3,5.55
239,Tocache,PE,2022-05-02 03:46:26,-8.1842,-76.5125,69.26,98,31,0.63
240,Port-Cartier,CA,2022-05-02 03:46:26,50.0334,-66.8654,43.02,91,3,5.86
241,Okha,RU,2022-05-02 03:46:27,53.5739,142.9478,34.25,93,99,8.19
242,Keti Bandar,PK,2022-05-02 03:46:27,24.1447,67.4497,86.29,60,0,20.69
243,Miramar,US,2022-05-02 03:46:28,25.9873,-80.2323,78.03,75,0,13.8
244,Deputatskiy,RU,2022-05-02 03:46:28,69.3,139.9,29.89,94,99,2.62
245,Zhuji,CN,2022-05-02 03:46:28,29.7188,120.2423,73.47,45,82,1.74
246,Tevaitoa,PF,2022-05-02 03:46:29,-16.7833,-151.5,81.18,73,97,9.53
247,Lazaro Cardenas,MX,2022-05-02 03:46:29,17.9583,-102.2,75.4,71,39,3.2
248,Beaupre,CA,2022-05-02 03:46:30,47.0443,-70.8953,47.86,85,8,6.91
249,Murgab,TM,2022-05-02 03:46:30,37.4966,61.9714,64.27,77,100,11.5
250,Asau,RO,2022-05-02 03:46:31,46.4333,26.4,45.95,87,99,1.12
251,Lamu,KE,2022-05-02 03:46:31,-2.2717,40.902,82.62,83,100,14.43
252,Shelburne,CA,2022-05-02 03:46:31,44.0787,-80.2041,47.59,94,100,4.56
253,Baghmara,IN,2022-05-02 03:46:32,23.795,86.2085,90.72,46,54,6.08
254,Saint-Augustin,CA,2022-05-02 03:46:32,51.226,-58.6502,32.7,84,100,19.22
255,Atar,MR,2022-05-02 03:46:33,20.5169,-13.0499,79.32,15,0,10.42
256,Gat,IL,2022-05-02 03:46:33,31.61,34.7642,63.28,82,70,3.04
257,Truro,GB,2022-05-02 03:46:33,50.2653,-5.0544,49.28,100,100,3.44
258,Walvis Bay,NA,2022-05-02 03:46:34,-22.9575,14.5053,52.75,100,0,8.05
259,Nandurbar,IN,2022-05-02 03:46:34,21.3667,74.25,90.88,44,0,17.56
